Item Creation Full Month,Library Code,Normalized Call Number,Location Code,Full Call Number,Title,Author,ISBN,Barcode
Oct 17,THEO,"0b""505 d55 1977",STACK,B505 .D55 1977,The middle Platonists : 80 B.C. to A.D. 220 /,,9780801410833; 0801410835,300000471147
Oct 17,THEO,"0b""765 t54 c478 2017",STACK,B765 .T54 C478 2017,"Thomas and the Thomists : the achievement of Thomas Aquinas and his interpreters / Romanus Cessario, OP, and Cajetan Cuddy, OP.","Cessario, Romanus, author.",1506405959; 9781506405957,300000472177
Oct 17,THEO,"0b""775 c3 1963",STACK,B775 .C3 1963,Individuum und Kosmos in der Philosophie der Renaissance /,"Cassirer, Ernst, 1874-1945.",,300000471038
Oct 17,THEO,"0b""785 e64 a84 1991",STACK,B785 .E64 A84 1991,"Erasmus : his life, works and influence /","Augustijn, C., 1928-",0802058647; 9780802058645,300000471003
Oct 17,THEO,"0b""819 l466",STACK,B819 .L466,Existentialism: with or without God /,"Lescoe, Francis J.",9780818902857; 081890285X,300000472303
Oct 17,THEO,"0b""821 g44 1982",STACK,B821 .G44 1982,German humanism and reformation /,,9780826402615; 0826402615; 9780826402516; 0826402518,300000471035
Oct 17,THEO,0b#1299 s64 m53 2017,STACK,B1299 .S64 M53 2017,Reason turned into sense : John Smith on spiritual sensation /,"Michaud, Derek A., author.",9042934824; 9789042934825,300000472229
Oct 17,THEO,0b#1302 e65 r4 1996,STACK,B1302 .E65 R4 1996,"Reason, ridicule, and religion : the age of enlightenment in England, 1660-1750 /","Redwood, John.",0500278857; 9780500278857,300000461806
Oct 17,THEO,0b#2971 w45 e5,STACK,B2971 .W45 E5,The essence of faith according to Luther /,"Feuerbach, Ludwig, 1804-1872.",,300000471084
Oct 17,THEO,0b#4378 s4 e54 2017,STACK,B4378 .S4 E54 2017,Innerlichkeit : Struktur- und praxistheoretische Perspektiven auf Kierkegaards Existenzdenken /,"Engmann, Matthias, 1984- author.",3110526921; 9783110526929; 9783110532036; 3110532034; 9783110530612; 3110530619,300000458606
Oct 17,THEO,"0bd""241 p67 2011",STACK,BD241 .P67 2011,Hermeneutics : an introduction to interpretive theory /,"Porter, Stanley E., 1956-",9780802866578; 0802866573,300000471083
Oct 17,THEO,"0bd""512 t413 1961",STACK,BD512 .T413 1961,The phenomenon of man : with an introd. by Julian Huxley /,"Teilhard de Chardin, Pierre.",,9936508509102486
Oct 17,THEO,0bf#1582 m6 1976,STACK,BF1582 .M6 1976,Witchcraft in France and Switzerland : the borderlands during the Reformation /,"Monter, E. William.",9780801409639; 0801409632,300000471026
Oct 17,THEO,0bf#1762 w56 2017,STACK,BF1762 .W56 2017,Early Mesopotamian divination literature : its organizational framework and generative and paradigmatic characteristics /,"Winitzer, Abraham, author.",9004346996; 9789004346994; 9789004347007; 9004347003,300000472235
Oct 17,THEO,0bj#1251 g86,STACK,BJ1251 .G86,Can ethics be Christian? /,"Gustafson, James M.",9780226311036; 0226311031,300000471069
